environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns,instance_number
grid,5,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,6184885,9506432,688.385,2598616,9506433,177959000.0,6184885,106341000.0,0,0.0,0,0.0,0,2907719,0.0,284301000.0,89
grid,5,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,356583897,364247554,37446.3,2598616,364247555,7262080000.0,364247555,6695730000.0,540,2908210.0,0,0.0,7409387,357343547,136202000.0,13960700000.0,90
grid,6,A* with IndexedHeap (D=2),19998,6833394,10502555,1936.82,2598616,7288842,738611000.0,6833394,505934000.0,0,0.0,3213714,202165000.0,0,3213714,0.0,1446710000.0,91
grid,6,ANA* with IndexedHeap (D=2),19998,625008844,637034156,110838.0,2598616,625090213,31541200000.0,625090213,40610400000.0,577,418983000.0,11943944,585566000.0,0,628977446,0.0,73156200000.0,92
grid,6,ANA* with BucketHeap (D=2),19998,570061165,580684413,78751.8,2598616,580684414,14325600000.0,580684414,23819200000.0,430,5233050.0,0,0.0,10497588,573759768,430602000.0,38150000000.0,93
grid,6,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,5800036,8916481,671.122,2598616,8916482,170074000.0,5800036,121282000.0,0,0.0,0,0.0,0,2729184,0.0,291356000.0,94
grid,6,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,603199523,614615237,84347.2,2598616,614615238,16644800000.0,614615238,24494800000.0,447,6075550.0,0,0.0,11284798,607684270,449743000.0,41145700000.0,95
grid,6,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,5800036,8916481,665.525,2598616,8916482,171806000.0,5800036,103758000.0,0,0.0,0,0.0,0,2729184,0.0,275564000.0,96
grid,6,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,429220144,440016303,47530.4,2598616,440016304,9503130000.0,440016304,9219970000.0,521,4054550.0,0,0.0,10648642,433408219,223128000.0,18727200000.0,97
grid,6,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,5800036,8916481,636.615,2598616,8916482,165734000.0,5800036,99626300.0,0,0.0,0,0.0,0,2729184,0.0,265360000.0,98
grid,6,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,387038364,396046087,41858.2,2598616,396046088,8219720000.0,396046088,7782940000.0,498,3270520.0,0,0.0,8870372,389467957,174317000.0,16005900000.0,99
grid,6,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,5800036,8916481,643.0,2598616,8916482,166742000.0,5800036,98224600.0,0,0.0,0,0.0,0,2729184,0.0,264966000.0,100
grid,6,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,332693849,342944413,36161.8,2598616,342944414,6973980000.0,342944414,6483430000.0,439,2664550.0,0,0.0,9781830,336458776,184928000.0,13460100000.0,101
grid,6,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,5800036,8916481,646.085,2598616,8916482,166498000.0,5800036,98481100.0,0,0.0,0,0.0,0,2729184,0.0,264979000.0,102
grid,6,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,323407894,333405237,34945.0,2598616,333405238,6735820000.0,333405238,6189790000.0,484,2587490.0,0,0.0,9514476,326917482,176640000.0,12928200000.0,103
grid,6,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,5800036,8916481,663.273,2598616,8916482,171434000.0,5800036,101097000.0,0,0.0,0,0.0,0,2729184,0.0,272530000.0,104
